GeneID	Symbol	LogFoldChange	P-Value
1	A1BG	-0,1251	0,0016
2	A2M	0,3138	0,00039
9	NAT1	0,0421	0,12
10	NAT2	-0,038	0,44
12	SERPINA3	1,0687	0,0004
13	AADAC	-0,0222	0,48
14	AAMP	-0,0453	0,17
15	AANAT	-0,0093	0,72
16	AARS	-0,0522	0,26
18	ABAT	-0,1977	0,0012
19	ABCA1	0,3282	0,0000012
20	ABCA2	0,1151	0,0011
21	ABCA3	0,0444	0,38
23	ABCF1	-0,0279	0,48
24	ABCA4	-0,0083	0,82
25	ABL1	0,4004	0,0000000011
26	ABP1	0,0002	0,99
27	ABL2	-0,1201	0,0018
28	ABO	0,0034	0,51
29	ABR	-0,1084	0,046
30	ACAA1	0,281	0,00000038
31	ACACA	-0,0208	0,025
32	ACACB	0,4498	0,000000000068
33	ACADL	0,0851	0,014
34	ACADM	0,0054	0,94
35	ACADS	0,1223	0,003
36	ACADSB	-0,0852	0,0029
37	ACADVL	0,4054	0,0000011
38	ACAT1	0,0674	0,35
39	ACAT2	-0,1369	0,00071
40	ACCN1	-0,2809	0,0000075
41	ACCN2	-0,108	0,0064
43	ACHE	-0,305	0,0000018
47	ACLY	-0,2122	0,0000042
48	ACO1	0,1196	0,0021
49	ACR	-0,0611	0,2
50	ACO2	-0,1062	0,0000071
51	ACOX1	0,1275	0,00023
52	ACP1	-0,2861	0,0000047
53	ACP2	-0,0765	0,049
54	ACP5	0,0565	0,15
55	ACPP	0,0155	0,18
56	ACRV1	-0,1046	0,0056
58	ACTA1	-0,1005	0,0037
59	ACTA2	0,0733	0,044
60	ACTB	-0,1146	0,022
69	ACTBP9	-0,1054	0,099
70	ACTC1	0,0123	0,51
71	ACTG1	-0,0925	0,16
72	ACTG2	-0,0078	0,81
81	ACTN4	0,2361	0,0000028
86	ACTL6A	0,2947	0,0000038
87	ACTN1	-0,4624	0,0000000002
88	ACTN2	-0,7079	0,000000000000093
89	ACTN3	-0,0241	0,54
90	ACVR1	0,0809	0,18
91	ACVR1B	-0,0939	0,00000023
92	ACVR2A	-0,0754	0,034
93	ACVR2B	0,2016	0,000000026
94	ACVRL1	0,0501	0,34
95	ACY1	0,0464	0,01
97	ACYP1	-0,1048	0,068
98	ACYP2	-0,419	0,00000015
100	ADA	0,058	0,023
101	ADAM8	0,0205	0,12
102	ADAM10	-0,0889	0,13
103	ADAR	-0,0441	0,35
104	ADARB1	-0,0896	0,000000052
105	ADARB2	0,2037	0,0003
107	ADCY1	-0,1724	0,0000076
108	ADCY2	0,2381	0,000000000012
109	ADCY3	-0,3231	0,0000005
111	ADCY5	-0,3935	0,000000000055
112	ADCY6	0,1214	0,00026
113	ADCY7	0,2179	0,0015
114	ADCY8	0,3419	0,0000031
115	ADCY9	-0,2044	0,00000013
116	ADCYAP1	-0,044	0,039
117	ADCYAP1R1	0,373	0,000000000013
118	ADD1	0,0632	0,00057
119	ADD2	-0,2122	0,00000000043
120	ADD3	0,3133	0,0000000078
123	ADFP	0,124	0,0013
124	ADH1A	-0,0257	0,42
125	ADH1B	0,0816	0,000055
126	ADH1C	-0,0179	0,51
127	ADH4	0,0195	0,028
128	ADH5	0,1057	0,024
130	ADH6	-0,0018	0,75
131	ADH7	-0,0083	0,8
132	ADK	-0,2293	0,00000084
133	ADM	0,4527	0,059
134	ADORA1	0,01	0,82
135	ADORA2A	-1,2752	0,0000000000029
136	ADORA2B	-0,1052	0,059
140	ADORA3	0,27	0,000059
141	ADPRH	0,0085	0,00018
142	PARP1	0,1437	0,00094
143	PARP4	0,0698	0,00033
146	ADRA1D	-0,0357	0,035
147	ADRA1B	0,0221	0,38
148	ADRA1A	0,0371	0,033
150	ADRA2A	0,0341	0,36
151	ADRA2B	-0,0058	0,9
152	ADRA2C	-0,2823	0,000035
153	ADRB1	-0,0992	0,0029
154	ADRB2	0,1259	0,0072
155	ADRB3	-0,0169	0,51
156	ADRBK1	-0,0564	0,00014
157	ADRBK2	0,0294	0,11
158	ADSL	-0,0405	0,026
159	ADSS	-0,0207	0,094
160	AP2A1	-0,1951	0,00000012
161	AP2A2	-0,1422	0,00044
162	AP1B1	0,0165	0,71
163	AP2B1	-0,1749	0,00066
164	AP1G1	0,02	0,27
165	AEBP1	1,1052	0,0000000000029
166	AES	-0,2546	0,000066
167	CRISP1	-0,0208	0,34
172	AFG3L1	0,1961	0,0000071
173	AFM	0,0184	0,53
174	AFP	0,0423	0,14
175	AGA	0,0402	0,31
176	ACAN	0,1046	0,0066
177	AGER	0,0181	0,62
178	AGL	-0,0258	0,75
181	AGRP	0,0536	0,11
182	JAG1	0,0922	0,003
183	AGT	0,6947	0,000000012
185	AGTR1	-0,0036	0,16
186	AGTR2	-0,0135	0,22
187	AGTRL1	1,0143	0,000000051
189	AGXT	-0,0277	0,27
190	NR0B1	-0,0169	0,13
191	AHCY	-0,1609	0,0072
196	AHR	0,13	0,01
197	AHSG	-0,0101	0,83
199	AIF1	0,0209	0,61
202	AIM1	0,0822	0,073
203	AK1	0,4366	0,0000064
204	AK2	0,1556	0,00000000085
205	AK3L1	0,1523	0,013
207	AKT1	-0,042	0,25
208	AKT2	0,0642	0,00000023
210	ALAD	0,1205	0,000062
211	ALAS1	-0,3044	0,000043
212	ALAS2	0,0409	0,00021
213	ALB	-0,0324	0,009
214	ALCAM	-0,1501	0,05
215	ABCD1	0,0075	0,89
216	ALDH1A1	0,421	0,0041
217	ALDH2	0,0929	0,1
218	ALDH3A1	0,0589	0,24
219	ALDH1B1	-0,0001	0,81
220	ALDH1A3	-0,057	0,14
221	ALDH3B1	0,0309	0,43
222	ALDH3B2	0,0126	0,14
223	ALDH9A1	0,2846	0,000028
224	ALDH3A2	-0,1204	0,00045
225	ABCD2	-0,0469	0,11
226	ALDOA	-0,239	0,00021
228	ALDOAP2	-0,0202	0,66
229	ALDOB	-0,0034	0,17
230	ALDOC	0,0409	0,58
231	AKR1B1	-0,2631	0,00093
238	ALK	-0,0879	0,0011
239	ALOX12	-0,0365	0,27
240	ALOX5	0,0973	0,0012
241	ALOX5AP	0,1067	0,36
242	ALOX12B	-0,063	0,13
244	ANXA8L2	-0,0456	0,25
245	ALOX12P2	-0,0218	0,62
246	ALOX15	-0,0514	0,27
247	ALOX15B	-0,0002	1
248	ALPI	0,0022	0,93
249	ALPL	0,0433	0,4
250	ALPP	-0,011	0,79
251	ALPPL2	0,0136	0,66
257	ALX3	0,0223	0,55
258	AMBN	-0,3475	0,00000007
259	AMBP	0,0032	0,14
262	AMD1	0,0254	0,088
263	AMDP1	-0,075	0,039
265	AMELX	0,0056	0,81
266	AMELY	-0,0051	0,9
267	AMFR	0,0533	0,16
268	AMH	-0,0677	0,15
269	AMHR2	-0,0231	0,63
270	AMPD1	0,0162	0,73
271	AMPD2	-0,5566	0,000000011
272	AMPD3	0,1003	0,013
273	AMPH	-0,5226	0,0000026
274	BIN1	0,2928	0,000075
275	AMT	0,07	0,074
276	AMY1A	-0,1916	0,041
283	ANG	0,3868	0,00000016
284	ANGPT1	0,4288	0,000000012
285	ANGPT2	0,0582	0,19
286	ANK1	-0,0155	0,31
287	ANK2	-0,0324	0,0000029
288	ANK3	-0,0935	0,0015
290	ANPEP	0,0139	0,4
291	SLC25A4	-0,4584	0,0000018
292	SLC25A5	-0,2518	0,0057
293	SLC25A6	-0,4373	0,000000000058
301	ANXA1	0,4767	0,00044
302	ANXA2	0,5971	0,0000066
303	ANXA2P1	-0,0159	0,79
304	ANXA2P2	0,4233	0,0000056
305	ANXA2P3	0,0176	0,55
306	ANXA3	0,2448	0,00097
307	ANXA4	0,2783	0,000059
308	ANXA5	0,4311	0,0000011
309	ANXA6	-0,2602	0,000000078
310	ANXA7	-0,015	0,58
311	ANXA11	-0,1208	0,028
312	ANXA13	0,018	0,62
313	AOAH	-0,1458	0,0016
314	AOC2	-0,0615	0,14
316	AOX1	-0,0198	0,67
317	APAF1	0,0359	0,0026
318	NUDT2	-0,1188	0,0029
319	APOF	0,0158	0,34
320	APBA1	-0,2364	0,00011
321	APBA2	0,0504	0,077
322	APBB1	-0,0066	0,87
323	APBB2	-0,0198	0,11
324	APC	0,1329	0,000012
325	APCS	-0,0182	0,62
326	AIRE	0,0029	0,93
327	APEH	-0,06	0,0034
328	APEX1	-0,1014	0,063
329	BIRC2	0,2648	0,00021
330	BIRC3	0,0827	0,016
331	BIRC4	0,0222	0,084
332	BIRC5	-0,0057	0,28
333	APLP1	-0,2505	0,0025
