gene_id_a	gene_id_b	edge_id
id:2	id:163	id:163:id:2
id:2	id:639	id:2:id:639
id:2	id:1437	id:1437:id:2
id:2	id:1499	id:1499:id:2
id:2	id:3015	id:2:id:3015
id:2	id:3221	id:2:id:3221
id:2	id:4067	id:2:id:4067
id:2	id:4332	id:2:id:4332
id:2	id:5295	id:2:id:5295
id:2	id:6606	id:2:id:6606
id:2	id:7003	id:2:id:7003
id:2	id:7295	id:2:id:7295
id:2	id:7428	id:2:id:7428
id:2	id:7732	id:2:id:7732
id:2	id:8322	id:2:id:8322
id:2	id:8357	id:2:id:8357
id:2	id:8533	id:2:id:8533
id:2	id:8554	id:2:id:8554
id:2	id:8676	id:2:id:8676
id:2	id:9922	id:2:id:9922
id:2	id:9976	id:2:id:9976
id:2	id:10105	id:10105:id:2
id:2	id:10273	id:10273:id:2
id:2	id:10524	id:10524:id:2
id:2	id:10813	id:10813:id:2
id:2	id:11218	id:11218:id:2
id:2	id:11315	id:11315:id:2
id:2	id:23191	id:2:id:23191
id:2	id:23682	id:2:id:23682
id:2	id:26284	id:2:id:26284
id:2	id:26468	id:2:id:26468
id:2	id:51699	id:2:id:51699
id:2	id:55611	id:2:id:55611
id:2	id:56957	id:2:id:56957
id:2	id:57054	id:2:id:57054
id:2	id:57591	id:2:id:57591
id:2	id:58489	id:2:id:58489
id:2	id:65082	id:2:id:65082
id:2	id:84708	id:2:id:84708
id:2	id:84709	id:2:id:84709
id:2	id:93621	id:2:id:93621
id:2	id:93974	id:2:id:93974
id:2	id:116092	id:116092:id:2
id:2	id:117581	id:117581:id:2
id:2	id:138065	id:138065:id:2
id:2	id:140691	id:140691:id:2
id:2	id:167465	id:167465:id:2
id:2	id:283150	id:2:id:283150
id:2	id:337879	id:2:id:337879
id:2	id:353324	id:2:id:353324
id:2	id:386675	id:2:id:386675
id:2	id:395539	id:2:id:395539
id:2	id:415117	id:2:id:415117
id:12	id:10273	id:10273:id:12
id:12	id:51699	id:12:id:51699
id:12	id:65082	id:12:id:65082
id:58	id:815	id:58:id:815
id:58	id:7568	id:58:id:7568
id:58	id:81493	id:58:id:81493
id:58	id:114824	id:114824:id:58
id:58	id:121549	id:121549:id:58
id:58	id:388324	id:388324:id:58
id:58	id:400566	id:400566:id:58
id:60	id:51699	id:51699:id:60
id:154	id:2146	id:154:id:2146
id:154	id:22936	id:154:id:22936
id:154	id:22938	id:154:id:22938
id:154	id:27154	id:154:id:27154
id:154	id:51444	id:154:id:51444
id:154	id:54014	id:154:id:54014
id:154	id:57097	id:154:id:57097
id:154	id:79733	id:154:id:79733
id:154	id:83459	id:154:id:83459
id:154	id:84066	id:154:id:84066
id:154	id:93974	id:154:id:93974
id:154	id:196549	id:154:id:196549
id:154	id:199964	id:154:id:199964
id:154	id:339965	id:154:id:339965
id:154	id:349035	id:154:id:349035
id:156	id:1453	id:1453:id:156
id:156	id:2065	id:156:id:2065
id:156	id:4684	id:156:id:4684
id:177	id:57708	id:177:id:57708
id:177	id:150590	id:150590:id:177
id:183	id:4833	id:183:id:4833
id:183	id:4867	id:183:id:4867
id:183	id:5639	id:183:id:5639
id:183	id:8890	id:183:id:8890
id:183	id:10419	id:10419:id:183
id:183	id:10618	id:10618:id:183
id:183	id:29934	id:183:id:29934
id:183	id:55106	id:183:id:55106
id:183	id:84548	id:183:id:84548
id:183	id:137196	id:137196:id:183
id:183	id:154807	id:154807:id:183
id:185	id:7417	id:185:id:7417
id:185	id:91039	id:185:id:91039
id:185	id:158809	id:158809:id:185
id:207	id:815	id:207:id:815
id:207	id:2534	id:207:id:2534
id:207	id:5566	id:207:id:5566
id:207	id:7295	id:207:id:7295
id:207	id:7572	id:207:id:7572
id:207	id:8437	id:207:id:8437
id:207	id:9267	id:207:id:9267
id:207	id:23273	id:207:id:23273
id:207	id:51083	id:207:id:51083
id:207	id:53339	id:207:id:53339
id:207	id:54507	id:207:id:54507
id:207	id:86614	id:207:id:86614
id:213	id:5465	id:213:id:5465
id:213	id:5928	id:213:id:5928
id:213	id:56957	id:213:id:56957
id:213	id:79734	id:213:id:79734
id:213	id:140691	id:140691:id:213
id:301	id:55194	id:301:id:55194
id:301	id:84933	id:301:id:84933
id:301	id:352999	id:301:id:352999
id:322	id:1659	id:1659:id:322
id:322	id:8403	id:322:id:8403
id:322	id:10280	id:10280:id:322
id:322	id:23157	id:23157:id:322
id:322	id:27257	id:27257:id:322
id:322	id:84893	id:322:id:84893
id:323	id:163	id:163:id:323
id:323	id:332	id:323:id:332
id:323	id:467	id:323:id:467
id:323	id:815	id:323:id:815
id:323	id:892	id:323:id:892
id:323	id:1616	id:1616:id:323
id:323	id:1747	id:1747:id:323
id:323	id:2122	id:2122:id:323
id:323	id:2140	id:2140:id:323
id:323	id:2189	id:2189:id:323
id:323	id:2534	id:2534:id:323
id:323	id:3101	id:3101:id:323
id:323	id:3202	id:3202:id:323
id:323	id:4222	id:323:id:4222
id:323	id:4733	id:323:id:4733
id:323	id:4899	id:323:id:4899
id:323	id:5110	id:323:id:5110
id:323	id:5187	id:323:id:5187
id:323	id:5307	id:323:id:5307
id:323	id:5566	id:323:id:5566
id:323	id:6540	id:323:id:6540
id:323	id:6996	id:323:id:6996
id:323	id:7182	id:323:id:7182
id:323	id:7335	id:323:id:7335
id:323	id:7417	id:323:id:7417
id:323	id:7681	id:323:id:7681
id:323	id:7709	id:323:id:7709
id:323	id:7873	id:323:id:7873
id:323	id:8193	id:323:id:8193
id:323	id:8554	id:323:id:8554
id:323	id:8574	id:323:id:8574
id:323	id:8760	id:323:id:8760
id:323	id:8819	id:323:id:8819
id:323	id:8862	id:323:id:8862
id:323	id:9922	id:323:id:9922
