gene_id_a	gene_symbol_a	gene_id_b	gene_symbol_b
3064	HTT_(wt)	12	SERPINA3
3064	HTT_(wt)	26	ABP1
3064	HTT_(wt)	58	ACTA1
3064	HTT_(wt)	60	ACTB
3064	HTT_(wt)	71	ACTG1
3064	HTT_(wt)	118	ADD1
3064	HTT_(wt)	120	ADD3
3064	HTT_(wt)	148	ADRA1A
3064	HTT_(wt)	161	AP2A2
3064	HTT_(wt)	163	AP2B1
3064	HTT_(wt)	166	AES
3064	HTT_(wt)	213	ALB
3064	HTT_(wt)	217	ALDH2
3064	HTT_(wt)	223	ALDH9A1
3064	HTT_(wt)	226	ALDOA
3064	HTT_(wt)	230	ALDOC
3064	HTT_(wt)	301	ANXA1
3064	HTT_(wt)	323	APBB2
3064	HTT_(wt)	332	BIRC5
3064	HTT_(wt)	333	APLP1
3064	HTT_(wt)	335	APOA1
3064	HTT_(wt)	347	APOD
3064	HTT_(wt)	348	APOE
3064	HTT_(wt)	351	APP
3064	HTT_(wt)	375	ARF1
3064	HTT_(wt)	377	ARF3
3064	HTT_(wt)	382	ARF6
3064	HTT_(wt)	384	ARG2
3064	HTT_(wt)	444	ASPH
3064	HTT_(wt)	478	ATP1A3
3064	HTT_(wt)	488	ATP2A2
3064	HTT_(wt)	498	ATP5A1
3064	HTT_(wt)	515	ATP5F1
3064	HTT_(wt)	526	ATP6V1B2
3064	HTT_(wt)	537	ATP6AP1
3064	HTT_(wt)	539	ATP5O
3064	HTT_(wt)	540	ATP7B
3064	HTT_(wt)	572	BAD
3064	HTT_(wt)	590	BCHE
3064	HTT_(wt)	672	BRCA1
3064	HTT_(wt)	762	CA4
3064	HTT_(wt)	800	CALD1
3064	HTT_(wt)	801	CALM1
3064	HTT_(wt)	805	CALM2
3064	HTT_(wt)	823	CAPN1
3064	HTT_(wt)	834	CASP1
3064	HTT_(wt)	836	CASP3
3064	HTT_(wt)	839	CASP6
3064	HTT_(wt)	840	CASP7
3064	HTT_(wt)	842	CASP9
3064	HTT_(wt)	857	CAV1
3064	HTT_(wt)	859	CAV3
3064	HTT_(wt)	867	CBL
3064	HTT_(wt)	875	CBS
3064	HTT_(wt)	881	CCIN
3064	HTT_(wt)	885	CCK
3064	HTT_(wt)	887	CCKBR
3064	HTT_(wt)	892	CCNC
3064	HTT_(wt)	900	CCNG1
3064	HTT_(wt)	908	CCT6A
3064	HTT_(wt)	948	CD36
3064	HTT_(wt)	954	ENTPD2
3064	HTT_(wt)	957	ENTPD5
3064	HTT_(wt)	966	CD59
3064	HTT_(wt)	988	CDC5L
3064	HTT_(wt)	989	SEPT7
3064	HTT_(wt)	1012	CDH13
3064	HTT_(wt)	1018	CDK3
3064	HTT_(wt)	1020	CDK5
3064	HTT_(wt)	1029	CDKN2A
3064	HTT_(wt)	1069	CETN2
3064	HTT_(wt)	1107	CHD3
3064	HTT_(wt)	1129	CHRM2
3064	HTT_(wt)	1131	CHRM3
3064	HTT_(wt)	1133	CHRM5
3064	HTT_(wt)	1134	CHRNA1
3064	HTT_(wt)	1136	CHRNA3
3064	HTT_(wt)	1140	CHRNB1
3064	HTT_(wt)	1158	CKM
3064	HTT_(wt)	1173	AP2M1
3064	HTT_(wt)	1195	CLK1
3064	HTT_(wt)	1200	TPP1
3064	HTT_(wt)	1234	CCR5
3064	HTT_(wt)	1267	CNP
3064	HTT_(wt)	1312	COMT
3064	HTT_(wt)	1315	COPB1
3064	HTT_(wt)	1329	COX5B
3064	HTT_(wt)	1337	COX6A1
3064	HTT_(wt)	1340	COX6B1
3064	HTT_(wt)	1373	CPS1
3064	HTT_(wt)	1375	CPT1B
3064	HTT_(wt)	1398	CRK
3064	HTT_(wt)	1400	CRMP1
3064	HTT_(wt)	1431	CS
3064	HTT_(wt)	1437	CSF2
3064	HTT_(wt)	1453	CSNK1D
3064	HTT_(wt)	1459	CSNK2A2
3064	HTT_(wt)	1487	CTBP1
3064	HTT_(wt)	1488	CTBP2
3064	HTT_(wt)	1499	CTNNB1
3064	HTT_(wt)	1537	CYC1
3064	HTT_(wt)	1577	CYP3A5
3064	HTT_(wt)	1616	DAXX
3064	HTT_(wt)	1627	DBN1
3064	HTT_(wt)	1639	DCTN1
3064	HTT_(wt)	1644	DDC
3064	HTT_(wt)	1674	DES
3064	HTT_(wt)	1678	TIMM8A
3064	HTT_(wt)	1738	DLD
3064	HTT_(wt)	1742	DLG4
3064	HTT_(wt)	1743	DLST
3064	HTT_(wt)	1747	DLX3
3064	HTT_(wt)	1759	DNM1
3064	HTT_(wt)	1778	DYNC1H1
3064	HTT_(wt)	1785	DNM2
3064	HTT_(wt)	1798	DPAGT1
3064	HTT_(wt)	1808	DPYSL2
3064	HTT_(wt)	1809	DPYSL3
3064	HTT_(wt)	1837	DTNA
3064	HTT_(wt)	1849	DUSP7
3064	HTT_(wt)	1861	TOR1A
3064	HTT_(wt)	1891	ECH1
3064	HTT_(wt)	1901	S1PR1
3064	HTT_(wt)	1906	EDN1
3064	HTT_(wt)	1917	EEF1A2
3064	HTT_(wt)	1933	EEF1B2
3064	HTT_(wt)	1936	EEF1D
3064	HTT_(wt)	1937	EEF1G
3064	HTT_(wt)	1938	EEF2
3064	HTT_(wt)	1956	EGFR
3064	HTT_(wt)	1968	EIF2S3
3064	HTT_(wt)	1974	EIF4A2
3064	HTT_(wt)	1983	EIF5
3064	HTT_(wt)	2023	ENO1
3064	HTT_(wt)	2027	ENO3
3064	HTT_(wt)	2036	EPB41L1
3064	HTT_(wt)	2045	EPHA7
3064	HTT_(wt)	2055	CLN8
3064	HTT_(wt)	2109	ETFB
3064	HTT_(wt)	2130	EWSR1
3064	HTT_(wt)	2140	EYA3
3064	HTT_(wt)	2171	FABP5
3064	HTT_(wt)	2188	FANCF
3064	HTT_(wt)	2194	FASN
3064	HTT_(wt)	2202	EFEMP1
3064	HTT_(wt)	2203	FBP1
3064	HTT_(wt)	2247	FGF2+PKC-alpha A25E
3064	HTT_(wt)	2263	FGFR2
3064	HTT_(wt)	2275	FHL3
3064	HTT_(wt)	2286	FKBP2
3064	HTT_(wt)	2512	FTL
3064	HTT_(wt)	2534	FYN
3064	HTT_(wt)	2547	XRCC6
3064	HTT_(wt)	2569	GABRR1
3064	HTT_(wt)	2571	GAD1
