gene_id	gene_symbol
51166	AADAT
16	AARS
57505	AARS2
10157	AASS
18	ABAT
4363	ABCC1
36	ACADSB
43	ACHE
95	ACY1
91703	ACY3
113	ADCY7
134	ADORA1
148	ADRA1A
147	ADRA1B
146	ADRA1D
150	ADRA2A
151	ADRA2B
152	ADRA2C
153	ADRB1
154	ADRB2
155	ADRB3
159	ADSS
122622	ADSSL1
189	AGXT
64902	AGXT2
85007	AGXT2L2
211	ALAS1
212	ALAS2
213	ALB
5832	ALDH18A1
240	ALOX5
262	AMD1
81693	AMN
276	AMY1A
279	AMY2A
283	ANG
301	ANXA1
358	AQP1
138715	ARID3C
440	ASNS
443	ASPA
444	ASPH
80150	ASRGL1
445	ASS1
476	ATP1A1
570	BAAT
586	BCAT1
587	BCAT2
590	BCHE
596	BCL2
200159	C1orf100
257044	C1orf101
759	CA1
771	CA12
760	CA2
774	CACNA1B
8913	CACNA1G
781	CACNA2D1
9254	CACNA2D2
790	CAD
50632	CALY
833	CARS
79587	CARS2
9607	CARTPT
8573	CASK
834	CASP1
836	CASP3
875	CBS
883	CCBL1
56267	CCBL2
6355	CCL8
1036	CDO1
91687	CENPL
10390	CEPT1
1103	CHAT
55349	CHDH
1119	CHKA
1120	CHKB
1128	CHRM1
1129	CHRM2
1131	CHRM3
1132	CHRM4
1133	CHRM5
57053	CHRNA10
1135	CHRNA2
1136	CHRNA3
1137	CHRNA4
8973	CHRNA6
1139	CHRNA7
55584	CHRNA9
1141	CHRNB2
1145	CHRNE
1152	CKB
1158	CKM
1159	CKMT1B
1160	CKMT2
1312	COMT
1385	CREB1
51380	CSAD
1491	CTH
1503	CTPS
8029	CUBN
54205	CYCS
1544	CYP1A2
1555	CYP2B6
1557	CYP2C19
1576	CYP3A4
9266	CYTH2
1615	DARS
1621	DBH
1644	DDC
23549	DNPEP
1812	DRD1
1813	DRD2
1814	DRD3
1815	DRD4
1816	DRD5
124454	EARS2
2028	ENPEP
2058	EPRS
2098	ESD
2099	ESR1
2162	F13A1
2246	FGF1
2346	FOLH1
2350	FOLR2
2352	FOLR3
2356	FPGS
10841	FTCD
2550	GABBR1
2554	GABRA1
2555	GABRA2
2556	GABRA3
2557	GABRA4
2558	GABRA5
2559	GABRA6
2571	GAD1
2572	GAD2
2593	GAMT
2617	GARS
2628	GATM
23464	GCAT
2645	GCK
2729	GCLC
2730	GCLM
2653	GCSH
9945	GFPT2
2677	GGCX
8836	GGH
2678	GGT1
2731	GLDC
2739	GLO1
2741	GLRA1
2742	GLRA2
8001	GLRA3
2743	GLRB
2745	GLRX
51022	GLRX2
2744	GLS
27165	GLS2
2746	GLUD1
2747	GLUD2
2752	GLUL
10249	GLYAT
92292	GLYATL1
219970	GLYATL2
2760	GM2A
8833	GMPS
27232	GNMT
10007	GNPDA1
2805	GOT1
2806	GOT2
10243	GPHN
2841	GPR18
